,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
351,taoudenni,0,ML,1587341556,21,22.68,-3.98,77.97,6.42
352,china,76,MX,1587341558,28,25.7,-99.23,90.7,9.04
353,kaseda,75,JP,1587341559,93,31.42,130.32,59.0,8.05
354,tuatapere,35,NZ,1587341561,65,-46.13,167.68,55.99,5.01
355,ellisras,19,ZA,1587341562,60,-23.66,27.74,61.56,6.6
356,staryy nadym,98,RU,1587341563,96,65.61,72.68,32.31,12.57
357,komsomolskiy,0,UZ,1587341565,54,40.43,71.72,55.4,6.93
358,banjarmasin,95,ID,1587341507,94,-3.32,114.59,77.0,2.24
359,tiznit,78,MA,1587341427,71,29.58,-9.5,54.79,9.51
360,brejo,100,BR,1587341569,94,-3.68,-42.75,75.47,3.96
361,agras,51,PT,1587341571,88,40.55,-8.54,57.0,1.25
362,polunochnoye,32,RU,1587341572,95,60.87,60.42,29.43,3.29
363,alta floresta,47,BR,1587341574,86,-9.88,-56.09,72.99,0.89
364,waipawa,59,NZ,1587341575,64,-41.41,175.52,59.0,7.0
365,kirillov,54,RU,1587341576,97,59.86,38.38,30.85,3.8
366,vredendal,5,ZA,1587341577,92,-31.67,18.5,59.43,2.55
367,shingu,75,JP,1587341579,93,33.73,135.98,62.6,3.36
368,castricum,0,NL,1587341581,66,52.55,4.67,50.0,7.0
369,talavera de la reina,3,ES,1587341582,76,39.96,-4.83,49.73,2.26
370,rawlins,75,US,1587341583,65,41.79,-107.24,46.0,20.8
371,krasnozerskoye,23,RU,1587341585,56,53.98,79.24,48.56,5.44
372,susuman,100,RU,1587341586,79,62.78,148.17,5.74,4.29
373,ronda,20,ES,1587341587,55,36.74,-5.17,64.4,11.41
374,abha,93,SA,1587341589,72,18.22,42.51,64.4,1.9
375,presidencia roque saenz pena,0,AR,1587341590,50,-26.79,-60.44,68.97,5.17
376,kenora,90,CA,1587341591,48,49.82,-94.43,39.2,25.28
377,saint-joseph,20,RE,1587341365,64,-21.37,55.62,75.2,11.41
378,general pico,1,AR,1587341594,52,-35.66,-63.76,67.1,4.68
379,inhambane,14,MZ,1587341595,83,-23.86,35.38,73.2,10.02
380,itacare,75,BR,1587341597,94,-14.28,-39.0,75.2,8.05
381,port hawkesbury,1,CA,1587341598,68,45.62,-61.35,30.99,17.22
382,abeche,69,TD,1587341599,13,13.83,20.83,79.83,11.52
